Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Diameter;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;
41005-03-35;41005-03-35;14k Rose Gold Classic Diamond Hoop Earrings 2 Carat;These classic diamond hoop earrings feature two carats of sparkling round diamonds on a 35mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Rose Gold Classic Diamond Hoop Earrings 2 Carat;These classic diamond hoop earrings feature two carats of sparkling round diamonds on a 35mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;35mm;14k Rose Gold;Overnight;Diamond Earrings;;;70;2.00 ctw;H-I;SI2;$3 825,00 ;;;;
41022-005-16;41022-005-16;14k White Gold Pave Diamond Hoop Earrings 1 Carat;Elegant and sparkling, these diamond hoop earrings feature one carat of pave set diamonds on a 16mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k White Gold Pave Diamond Hoop Earrings 1 Carat;Elegant and sparkling, these diamond hoop earrings feature one carat of pave set diamonds on a 16mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;16mm;14k White Gold;Overnight;Diamond Earrings;;;200;1.00 ctw;H-I;SI2;$2 895,00 ;;;;
41022-005-16;41022-005-16;14k Yellow Gold Pave Diamond Hoop Earrings 1 Carat;Elegant and sparkling, these diamond hoop earrings feature one carat of pave set diamonds on a 16mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k Yellow Gold Pave Diamond Hoop Earrings 1 Carat;Elegant and sparkling, these diamond hoop earrings feature one carat of pave set diamonds on a 16mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;16mm;14k Yellow Gold ;Overnight;Diamond Earrings;;;200;1.00 ctw;H-I;SI2;$2 895,00 ;;;;
41022-005-16;41022-005-16;14k Rose Gold Pave Diamond Hoop Earrings 1 Carat;Elegant and sparkling, these diamond hoop earrings feature one carat of pave set diamonds on a 16mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k Rose Gold Pave Diamond Hoop Earrings 1 Carat;Elegant and sparkling, these diamond hoop earrings feature one carat of pave set diamonds on a 16mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;16mm;14k Rose Gold;Overnight;Diamond Earrings;;;200;1.00 ctw;H-I;SI2;$2 895,00 ;;;;
41022-015-25;41022-015-25;14k White Gold Pave Diamond Hoop Earrings 2 Carat;Elegant and sparkling, these diamond hoop earrings feature two carats of pave set diamonds on a 25mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k White Gold Pave Diamond Hoop Earrings 2 Carat;Elegant and sparkling, these diamond hoop earrings feature two carats of pave set diamonds on a 25mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;25mm;14k White Gold;Overnight;Diamond Earrings;;;148;2.00 ctw;H-I;SI2;$4 495,00 ;;;;
41022-015-25;41022-015-25;14k Yellow Gold Pave Diamond Hoop Earrings 2 Carat;Elegant and sparkling, these diamond hoop earrings feature two carats of pave set diamonds on a 25mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k Yellow Gold Pave Diamond Hoop Earrings 2 Carat;Elegant and sparkling, these diamond hoop earrings feature two carats of pave set diamonds on a 25mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;25mm;14k Yellow Gold ;Overnight;Diamond Earrings;;;148;2.00 ctw;H-I;SI2;$4 495,00 ;;;;
41022-015-25;41022-015-25;14k Rose Gold Pave Diamond Hoop Earrings 2 Carat;Elegant and sparkling, these diamond hoop earrings feature two carats of pave set diamonds on a 25mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k Rose Gold Pave Diamond Hoop Earrings 2 Carat;Elegant and sparkling, these diamond hoop earrings feature two carats of pave set diamonds on a 25mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;25mm;14k Rose Gold;Overnight;Diamond Earrings;;;148;2.00 ctw;H-I;SI2;$4 495,00 ;;;;
41022-015-36;41022-015-36;14k White Gold Pave Diamond Hoop Earrings 3.75 Carat;Elegant and sparkling, these diamond hoop earrings feature three and three quarter carats of pave set diamonds on a 36mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k White Gold Pave Diamond Hoop Earrings 3.75 Carat;Elegant and sparkling, these diamond hoop earrings feature three and three quarter carats of pave set diamonds on a 36mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;36mm;14k White Gold;Overnight;Diamond Earrings;;;250;3.75 ctw;H-I;SI2;$7 395,00 ;;;;
41022-015-36;41022-015-36;14k Yellow Gold Pave Diamond Hoop Earrings 3.75 Carat;Elegant and sparkling, these diamond hoop earrings feature three and three quarter carats of pave set diamonds on a 36mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k Yellow Gold Pave Diamond Hoop Earrings 3.75 Carat;Elegant and sparkling, these diamond hoop earrings feature three and three quarter carats of pave set diamonds on a 36mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;36mm;14k Yellow Gold ;Overnight;Diamond Earrings;;;250;3.75 ctw;H-I;SI2;$7 395,00 ;;;;
41022-015-36;41022-015-36;14k Rose Gold Pave Diamond Hoop Earrings 3.75 Carat;Elegant and sparkling, these diamond hoop earrings feature three and three quarter carats of pave set diamonds on a 36mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k Rose Gold Pave Diamond Hoop Earrings 3.75 Carat;Elegant and sparkling, these diamond hoop earrings feature three and three quarter carats of pave set diamonds on a 36mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;36mm;14k Rose Gold;Overnight;Diamond Earrings;;;250;3.75 ctw;H-I;SI2;$7 395,00 ;;;;
41022-025-28;41022-025-28;14k White Gold Pave Diamond Hoop Earrings 3.50 Carat;Elegant and sparkling, these diamond hoop earrings feature three and a half carats of pave set diamonds on a 28mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k White Gold Pave Diamond Hoop Earrings 3.50 Carat;Elegant and sparkling, these diamond hoop earrings feature three and a half carats of pave set diamonds on a 28mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;28mm;14k White Gold;Overnight;Diamond Earrings;;;136;3.50 ctw;H-I;SI2;$6 375,00 ;;;;
41022-025-28;41022-025-28;14k Yellow Gold Pave Diamond Hoop Earrings 3.50 Carat;Elegant and sparkling, these diamond hoop earrings feature three and a half carats of pave set diamonds on a 28mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k Yellow Gold Pave Diamond Hoop Earrings 3.50 Carat;Elegant and sparkling, these diamond hoop earrings feature three and a half carats of pave set diamonds on a 28mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;28mm;14k Yellow Gold ;Overnight;Diamond Earrings;;;136;3.50 ctw;H-I;SI2;$6 375,00 ;;;;
41022-025-28;41022-025-28;14k Rose Gold Pave Diamond Hoop Earrings 3.50 Carat;Elegant and sparkling, these diamond hoop earrings feature three and a half carats of pave set diamonds on a 28mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k Rose Gold Pave Diamond Hoop Earrings 3.50 Carat;Elegant and sparkling, these diamond hoop earrings feature three and a half carats of pave set diamonds on a 28mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;28mm;14k Rose Gold;Overnight;Diamond Earrings;;;136;3.50 ctw;H-I;SI2;$6 375,00 ;;;;
41022-025-36;41022-025-36;14k White Gold Pave Diamond Hoop Earrings 5.25 Carat;Elegant and sparkling, these diamond hoop earrings feature five and one quarter carats of pave set diamonds on a 36mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k White Gold Pave Diamond Hoop Earrings 5.25 Carat;Elegant and sparkling, these diamond hoop earrings feature five and one quarter carats of pave set diamonds on a 36mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;36mm;14k White Gold;Overnight;Diamond Earrings;;;214;5.25 ctw;H-I;SI2;$9 600,00 ;;;;
41022-025-36;41022-025-36;14k Yellow Gold Pave Diamond Hoop Earrings 5.25 Carat;Elegant and sparkling, these diamond hoop earrings feature five and one quarter carats of pave set diamonds on a 36mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k Yellow Gold Pave Diamond Hoop Earrings 5.25 Carat;Elegant and sparkling, these diamond hoop earrings feature five and one quarter carats of pave set diamonds on a 36mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;36mm;14k Yellow Gold ;Overnight;Diamond Earrings;;;214;5.25 ctw;H-I;SI2;$9 600,00 ;;;;
41022-025-36;41022-025-36;14k Rose Gold Pave Diamond Hoop Earrings 5.25 Carat;Elegant and sparkling, these diamond hoop earrings feature five and one quarter carats of pave set diamonds on a 36mm hoop with a secure locking clasp. Crafted with pride in USA. ;14k Rose Gold Pave Diamond Hoop Earrings 5.25 Carat;Elegant and sparkling, these diamond hoop earrings feature five and one quarter carats of pave set diamonds on a 36mm hoop with a secure locking clasp. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;36mm;14k Rose Gold;Overnight;Diamond Earrings;;;214;5.25 ctw;H-I;SI2;$9 600,00 ;;;;
